x (m),y (m),z (m)
99.808182,8.9250002,1.74
98.815453,8.9250002,1.74
97.822731,8.9250002,1.74
96.830002,8.9250002,1.74
95.837273,8.9250002,1.74
94.844543,8.9250002,1.74
93.851822,8.9250002,1.74
92.859093,8.9250002,1.74
91.866364,8.9250002,1.74
90.873634,8.9250002,1.74
89.880913,8.9250002,1.74
88.888184,8.9250002,1.74
87.895454,8.9250002,1.74
86.902725,8.9250002,1.74
106.75727,7.9333334,1.74
105.76455,7.9333334,1.74
104.77182,7.9333334,1.74
103.77909,7.9333334,1.74
102.78636,7.9333334,1.74
101.79364,7.9333334,1.74
100.80091,7.9333334,1.74
99.808182,7.9333334,1.74
98.815453,7.9333334,1.74
97.822731,7.9333334,1.74
96.830002,7.9333334,1.74
95.837273,7.9333334,1.74
94.844543,7.9333334,1.74
93.851822,7.9333334,1.74
92.859093,7.9333334,1.74
91.866364,7.9333334,1.74
90.873634,7.9333334,1.74
89.880913,7.9333334,1.74
88.888184,7.9333334,1.74
87.895454,7.9333334,1.74
86.902725,7.9333334,1.74
106.75727,6.9416666,1.74
105.76455,6.9416666,1.74
104.77182,6.9416666,1.74
103.77909,6.9416666,1.74
102.78636,6.9416666,1.74
101.79364,6.9416666,1.74
100.80091,6.9416666,1.74
99.808182,6.9416666,1.74
98.815453,6.9416666,1.74
97.822731,6.9416666,1.74
96.830002,6.9416666,1.74
95.837273,6.9416666,1.74
94.844543,6.9416666,1.74
93.851822,6.9416666,1.74
92.859093,6.9416666,1.74
91.866364,6.9416666,1.74
90.873634,6.9416666,1.74
89.880913,6.9416666,1.74
88.888184,6.9416666,1.74
87.895454,6.9416666,1.74
86.902725,6.9416666,1.74
107.75,5.9499998,1.74
106.75727,5.9499998,1.74
105.76455,5.9499998,1.74
104.77182,5.9499998,1.74
103.77909,5.9499998,1.74
102.78636,5.9499998,1.74
101.79364,5.9499998,1.74
100.80091,5.9499998,1.74
99.808182,5.9499998,1.74
98.815453,5.9499998,1.74
97.822731,5.9499998,1.74
96.830002,5.9499998,1.74
95.837273,5.9499998,1.74
94.844543,5.9499998,1.74
93.851822,5.9499998,1.74
92.859093,5.9499998,1.74
91.866364,5.9499998,1.74
90.873634,5.9499998,1.74
89.880913,5.9499998,1.74
88.888184,5.9499998,1.74
87.895454,5.9499998,1.74
86.902725,5.9499998,1.74
85.910004,5.9499998,1.74
106.75727,4.9583335,1.74
105.76455,4.9583335,1.74
104.77182,4.9583335,1.74
103.77909,4.9583335,1.74
102.78636,4.9583335,1.74
101.79364,4.9583335,1.74
100.80091,4.9583335,1.74
99.808182,4.9583335,1.74
98.815453,4.9583335,1.74
97.822731,4.9583335,1.74
96.830002,4.9583335,1.74
95.837273,4.9583335,1.74
94.844543,4.9583335,1.74
93.851822,4.9583335,1.74
92.859093,4.9583335,1.74
91.866364,4.9583335,1.74
90.873634,4.9583335,1.74
89.880913,4.9583335,1.74
88.888184,4.9583335,1.74
87.895454,4.9583335,1.74
86.902725,4.9583335,1.74
106.75727,3.9666667,1.74
105.76455,3.9666667,1.74
104.77182,3.9666667,1.74
103.77909,3.9666667,1.74
102.78636,3.9666667,1.74
101.79364,3.9666667,1.74
100.80091,3.9666667,1.74
99.808182,3.9666667,1.74
98.815453,3.9666667,1.74
97.822731,3.9666667,1.74
96.830002,3.9666667,1.74
95.837273,3.9666667,1.74
94.844543,3.9666667,1.74
93.851822,3.9666667,1.74
92.859093,3.9666667,1.74
91.866364,3.9666667,1.74
90.873634,3.9666667,1.74
89.880913,3.9666667,1.74
88.888184,3.9666667,1.74
87.895454,3.9666667,1.74
86.902725,3.9666667,1.74
106.75727,2.9749999,1.74
105.76455,2.9749999,1.74
104.77182,2.9749999,1.74
103.77909,2.9749999,1.74
102.78636,2.9749999,1.74
101.79364,2.9749999,1.74
100.80091,2.9749999,1.74
99.808182,2.9749999,1.74
98.815453,2.9749999,1.74
97.822731,2.9749999,1.74
96.830002,2.9749999,1.74
95.837273,2.9749999,1.74
94.844543,2.9749999,1.74
93.851822,2.9749999,1.74
92.859093,2.9749999,1.74
91.866364,2.9749999,1.74
90.873634,2.9749999,1.74
89.880913,2.9749999,1.74
88.888184,2.9749999,1.74
87.895454,2.9749999,1.74
86.902725,2.9749999,1.74
85.910004,2.9749999,1.74
106.75727,1.9833333,1.74
105.76455,1.9833333,1.74
104.77182,1.9833333,1.74
103.77909,1.9833333,1.74
102.78636,1.9833333,1.74
101.79364,1.9833333,1.74
100.80091,1.9833333,1.74
99.808182,1.9833333,1.74
98.815453,1.9833333,1.74
97.822731,1.9833333,1.74
96.830002,1.9833333,1.74
95.837273,1.9833333,1.74
94.844543,1.9833333,1.74
93.851822,1.9833333,1.74
92.859093,1.9833333,1.74
